Site,MAP,Clay,Case.ID,Year,Rainfull,Precip.pct,N1,C-M1,C-SD1,T-M1,T-SD1,N2,C-M2,C-SD2,T-M2,T-SD2,N3,C-M3,C-SD3,T-M3,T-SD3
Duolun County,385.5,16.9,IPPT_1,2006,407.7,29.4,,,,,,,,,,,4,3340,796,2733,450
Duolun County,385.5,16.9,IPPT_1,2007,198.5,60.5,,,,,,,,,,,4,3412,116,2767,414
Duolun County,385.5,16.9,IPPT_1,2012,323.4,37.1,4,329.46,72.05,490.07,52.53,4,40.32,5.63,101.1,11.39,,,,,
Duolun County,385.5,16.9,IPPT_1,2013,300.1,40,4,201.68,16.16,440.91,32.66,4,24.56,8.22,51.65,9.45,,,,,
Duolun County,385.5,16.9,IPPT_2,2005,322.8,37.2,6,378.93,51.78,421.21,56.62,6,63.68,4.44,70.56,9.56,,,,,
Duolun County,385.5,16.9,IPPT_2,2006,407.7,29.4,6,456.01,111.74,511.9,107.9,6,70.76,19.74,95.38,17.9,,,,,
Duolun County,385.5,16.9,IPPT_2,2007,198.5,60.5,6,271.27,82.74,350.84,87,6,40.77,7.55,74.99,18.87,,,,,
Duolun County,385.5,16.9,IPPT_2,2008,356.4,33.7,6,366.16,136.9,633.95,111.74,6,70.37,16.94,83.84,14.13,,,,,
Duolun County,385.5,16.9,IPPT_2,2009,196.3,61.1,6,320.37,53.74,357.63,37.53,6,50.77,11.32,114.62,24.49,,,,,
Duolun County,385.5,16.9,IPPT_2,2010,329.3,36.4,6,761.85,87.62,883.83,189.46,6,97.68,19.02,131.8,25.65,,,,,
Duolun County,385.5,16.9,IPPT_2,2012,323.4,37.1,6,288.92,20.45,318.74,29.01,6,36.12,4.04,48.6,4.04,,,,,
Duolun County,385.5,16.9,IPPT_2,2013,300.1,40,6,158.36,23.77,272.22,16.95,6,17.13,2.5,23.37,2.5,,,,,
